Paul McCartney,Stadthalle Vienna,December 5th-6th 2018,https://www.paulmccartney.com/live
Paul McCartney,Echo Arena Liverpool,December 12th 2018,https://www.paulmccartney.com/live
Paul McCartney,SSE Hydro Glasgow,December 14th 2018,https://www.paulmccartney.com/live
Paul McCartney,O2 Arena London,December 16th 2018,https://www.paulmccartney.com/live
Paul McCartney,Santiago Chile,December 20th 2018,https://www.paulmccartney.com/live
Ringo Starr,Tokyo Japan,April 3rd 2019,http://www.ringostarr.com/tour
Ringo Starr,Tokyo Japan,April 5th 2019,http://www.ringostarr.com/tour
Ringo Starr,Nagoya Japan,April 9th 2019,http://www.ringostarr.com/tour
Ringo Starr,Osaka Japan,April 10th 2019,http://www.ringostarr.com/tour
Ringo Starr,Osaka Japan,April 11th 2019,http://www.ringostarr.com/tour
The Fab Four,Wendover NV,December 14th 2018,http://thefabfour.com/
The Fab Four,Aspen CO,December 25th 2018,http://thefabfour.com/
The Fab Four,Boise ID,December 29th 2018,http://thefabfour.com/
RAIN,Providence RI,February 20th 2019,http://www.raintribute.com/rain/tickets.html
RAIN,Rochester NY,February 21st 2019,http://www.raintribute.com/rain/tickets.html
RAIN,Greenvale NY,February 22nd 2019,http://www.raintribute.com/rain/tickets.html
